Data,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2016-07-07,18708.33,18102.72
2016-07-08,18658.33,18417.56
2016-07-09,16979.17,16256.71
2016-07-10,15091.67,14752.78
2016-07-11,18733.33,18290.45
2016-07-12,19441.67,19117.56
2016-07-13,19004.17,18988.97
2016-07-14,19145.83,18414.72
2016-07-15,18950.0,18004.88
2016-07-16,16708.33,16375.15
2016-07-17,15025.0,14747.31
2016-07-18,18029.17,17690.62
2016-07-19,18650.0,18378.25
2016-07-20,18754.17,18388.14
2016-07-21,18808.33,18501.21
2016-07-22,18808.33,18552.49
2016-07-23,16937.5,16815.21
2016-07-24,15033.33,15197.62
2016-07-25,18379.17,18425.3
2016-07-26,19100.0,19051.19
2016-07-27,19179.17,19057.51
2016-07-28,18959.33,18933.8
2016-07-29,19172.92,18696.49
2016-07-30,17112.5,16713.82
2016-07-31,15187.5,15230.03
2016-08-01,18479.17,17621.23
2016-08-02,19016.67,18064.55
2016-08-03,18800.0,18291.34
2016-08-04,19225.0,18772.82
2016-08-05,19083.33,18841.0
2016-08-06,17135.42,16474.3
2016-08-07,15427.08,14525.04
2016-08-08,18300.0,17818.23
2016-08-09,19122.92,18389.2
2016-08-10,18827.08,18303.78
2016-08-11,18770.83,18157.35
2016-08-12,18533.33,18067.76
2016-08-13,,16289.16
2016-08-14,14464.58,14548.38
2016-08-15,14133.33,13864.95
2016-08-16,17687.5,17614.21
2016-08-17,18391.67,18502.13
2016-08-18,18750.0,18619.95
2016-08-19,18887.5,18843.1
2016-08-20,16887.5,16987.63
2016-08-21,15208.33,15305.66
2016-08-22,18427.08,18343.99
2016-08-23,18958.33,18982.23
2016-08-24,19204.17,19256.44
2016-08-25,19258.33,19116.88
2016-08-26,19560.42,18991.3
2016-08-27,17450.0,17204.84
2016-08-28,15808.33,15491.28
2016-08-29,19308.33,18747.05
2016-08-30,19554.17,19013.67
2016-08-31,19554.17,19187.93
2016-09-01,19583.33,18988.26
2016-09-02,19558.33,19028.97
2016-09-03,17258.33,16988.85
2016-09-04,15816.67,15217.39
2016-09-05,18937.5,18522.23
2016-09-06,19316.67,19066.27
2016-09-07,19366.67,19309.82
2016-09-08,19541.67,19520.67
2016-09-09,19850.0,19503.78
2016-09-10,17495.83,17584.59
2016-09-11,15541.67,15744.96
2016-09-12,19475.0,19050.62
2016-09-13,20020.83,19613.13
2016-09-14,19925.0,19382.09
2016-09-15,19816.67,19203.74
2016-09-16,19687.5,19139.48
2016-09-17,17483.33,17030.17
2016-09-18,15620.83,15089.85
2016-09-19,18816.67,18320.18
2016-09-20,19416.67,19052.28
2016-09-21,19404.17,19127.6
2016-09-22,19437.5,19142.89
2016-09-23,19391.67,19127.06
2016-09-24,17475.0,17294.32
2016-09-25,15504.17,15457.38
2016-09-26,18883.33,18666.66
2016-09-27,19529.17,19381.29
2016-09-28,19529.17,19366.12
2016-09-29,19595.83,19274.45
2016-09-30,19650.0,19190.8
2016-10-01,17433.33,17212.57
2016-10-02,15579.17,15469.39
2016-10-03,18954.17,19053.12
2016-10-04,19818.75,17997.78
2016-10-05,20193.75,19870.45
2016-10-06,20020.83,20008.62
2016-10-07,20175.0,19952.33
2016-10-08,18158.33,17910.76
2016-10-09,16233.33,15968.47
2016-10-10,19970.83,19557.8
2016-10-11,20500.0,20208.03
2016-10-12,20487.5,20410.36
2016-10-13,20454.17,20407.22
2016-10-14,20427.75,19960.67
2016-10-15,18400.0,17987.65
2016-10-16,16316.67,16380.33
2016-10-17,19841.67,19709.42
2016-10-18,20612.5,20322.87
2016-10-19,20670.83,20421.02
2016-10-20,20741.67,20520.39
2016-10-21,20745.83,20487.09
2016-10-22,18575.0,18497.85
2016-10-23,16560.42,16367.43
2016-10-24,20202.08,19832.76
2016-10-25,20650.0,20420.38
2016-10-26,20633.33,20514.71
2016-10-27,20679.17,20531.19
2016-10-28,20804.17,20417.52
2016-10-29,18510.42,18231.58
2016-10-30,16096.0,16295.01
2016-10-31,18014.58,18204.6
2016-11-01,15012.5,14996.06
2016-11-02,19950.0,19434.68
2016-11-03,20887.5,20707.44
2016-11-04,20933.33,20780.22
2016-11-05,19187.5,18868.86
2016-11-06,17039.58,16877.22
2016-11-07,20487.5,20504.57
2016-11-08,21197.92,21164.21
2016-11-09,21333.33,21611.23
2016-11-10,21262.5,21261.89
2016-11-11,17631.25,17736.36
2016-11-12,18110.42,18085.82
2016-11-13,17393.75,17121.48
2016-11-14,21160.42,20799.47
2016-11-15,21783.33,21483.93
2016-11-16,21577.08,21477.05
2016-11-17,21541.67,21182.34
2016-11-18,21328.12,20602.46
2016-11-19,18972.92,18916.2
2016-11-20,16910.42,16626.4
2016-11-21,20687.5,19952.48
2016-11-22,21220.83,20625.16
2016-11-23,21075.0,21090.72
2016-11-24,21154.17,21346.85
2016-11-25,21537.5,21486.61
2016-11-26,19450.0,19242.64
2016-11-27,17552.08,17050.61
2016-11-28,21437.5,20971.08
2016-11-29,22195.83,21664.88
2016-11-30,22229.17,21720.3
2016-12-01,21966.67,21641.83
2016-12-02,22166.67,21426.18
2016-12-03,19820.83,19510.04
2016-12-04,17593.75,17894.29
2016-12-05,21641.67,21310.55
2016-12-06,22166.67,21972.63
2016-12-07,22287.5,22030.26
2016-12-08,22118.75,21589.03
2016-12-09,21864.58,21568.79
2016-12-10,19527.08,19249.2
2016-12-11,17806.25,17366.35
2016-12-12,21491.67,21254.4
2016-12-13,22195.83,22004.83
2016-12-14,22170.83,22175.11
2016-12-15,22345.83,22165.31
2016-12-16,22208.33,22062.34
2016-12-17,19735.42,20180.41
2016-12-18,17604.17,18389.17
2016-12-19,21750.0,21668.33
2016-12-20,22350.0,22115.36
2016-12-21,22275.0,21883.5
2016-12-22,22287.5,21803.31
2016-12-23,21587.5,21103.28
2016-12-24,17289.58,16831.57
2016-12-25,14383.33,14639.04
2016-12-26,14320.83,14586.37
2016-12-27,19035.42,18322.8
2016-12-28,20182.58,19683.07
2016-12-29,20662.5,19830.32
2016-12-30,20300.0,19453.31
2016-12-31,17572.33,17131.19
2017-01-01,15437.5,15223.31
2017-01-02,20412.5,20046.43
2017-01-03,21652.08,21315.04
2017-01-04,21887.5,21363.53
2017-01-05,22258.33,21792.65
2017-01-06,18975.0,18912.52
2017-01-07,19387.5,19758.92
2017-01-08,18433.33,18963.55
2017-01-09,22314.58,22474.76
2017-01-10,22629.17,22874.98
2017-01-11,23250.0,22870.55
2017-01-12,22879.17,22279.27
2017-01-13,22391.67,22008.19
2017-01-14,19989.58,19916.14
2017-01-15,18770.83,18072.89
2017-01-16,22087.5,21710.84
2017-01-17,22779.17,22493.13
2017-01-18,22875.0,22677.84
